,id,title,popularity,vote_count,vote_average,original_language,release_date
97,13754.0,Tekkonkinkreet,10.279000000000000,211,7.5,ja,2006-12-11
98,481375.0,Malevolent,14.793,218,4.9,en,2018-12-13
100,759917.0,요가학원: 죽음의 쿤달리니,15.989,1,6.0,ko,2020-11-18
101,580175.0,Another Round,11.266000000000000,76,8.0,da,2020-10-08
104,520946.0,100% Wolf,13.308,10,7.0,en,2020-05-07
105,575776.0,Saint Maud,11.111000000000000,8,7.6,en,2020-10-09
115,548544.0,Invisible Life,12.478,158,8.1,pt,2019-08-30
118,549294.0,Synchronic,8.073,1,1.0,en,2020-10-23
120,728123.0,I Am Greta,14.318,14,5.1,sv,2020-10-16
123,536396.0,Blackbird,10.684000000000000,21,6.9,en,2020-09-23
125,605735.0,10 Days Without Mum,10.568,103,5.9,fr,2020-02-19
126,718840.0,A Nice Girl Like You,10.663,36,6.4,en,2020-07-18
131,613349.0,A Good Doctor,9.195,128,6.7,fr,2019-12-11
132,523366.0,Dragon Rider,11.838,3,8.7,en,2020-10-15
133,597088.0,And Then We Danced,13.103,80,7.7,ka,2019-09-13
136,477428.0,The Painted Bird,12.189,43,7.1,cs,2019-09-12
137,426258.0,The Strange Ones,9.019,54,5.5,en,2018-01-05
139,192538.0,Hammer of the Gods,8.678000000000000,111,4.5,en,2013-07-05
140,508330.0,Awoken,12.093,40,6.2,en,2020-05-07
143,537140.0,Hope Gap,10.739,30,6.0,en,2019-10-03
144,554761.0,Falling,11.332,5,7.2,en,2020-10-02
152,589540.0,Spider,11.162,22,7.5,es,2019-08-15
153,512603.0,Out Stealing Horses,8.582,29,6.5,no,2019-03-08
160,575773.0,Rocks,10.208,10,6.9,en,2020-09-09
169,720755.0,The Kid Detective,6.2990000000000000,5,6.4,en,2020-10-16
174,595931.0,The Climb,8.424,18,6.8,en,2020-07-29
178,607383.0,Aquaslash,6.9640000000000000,11,3.8,en,2020-06-23
179,581526.0,Deliver Us from Evil,5.692,17,7.6,ko,2020-08-05
180,545237.0,The Nest,9.066,8,7.0,en,2020-05-08
185,429977.0,Hot Dog,8.893000000000000,66,5.6,de,2018-01-18
186,534789.0,Thomas & Friends: Big World! Big Adventures! The Movie,7.886,16,7.4,en,2018-07-20
187,621707.0,The Vigil,7.394,35,5.7,en,2020-07-29
189,659699.0,Delete History,5.349,49,5.4,fr,2020-08-26
190,613080.0,Once Upon a Time in Bethlehem,8.467,240,6.3,it,2019-12-12
192,582887.0,The Best Years of a Life,6.473,45,6.7,fr,2019-05-22
195,348672.0,About Endlessness,8.268000000000000,30,6.6,sv,2019-11-15
197,649137.0,Billie,6.36,4,7.0,en,2020-09-30
198,601131.0,Norm of the North: King Sized Adventure,5.758000000000000,4,7.6,en,2019-06-11
203,507773.0,Bring Me Home,7.082000000000000,19,6.9,ko,2019-11-27
208,424201.0,Burden,6.429000000000000,13,6.0,en,2020-02-28
210,744738.0,Dune Drifter,5.837000000000000,4,5.4,en,2020-10-24
213,613319.0,Selfie,4.927,48,5.6,fr,2020-01-15
217,660330.0,Night Shift,5.035,34,6.3,fr,2020-05-21
219,573650.0,Bangla,6.157,74,6.1,it,2019-05-16
